# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
145  1957.39493     0    0    0    0    0    0    0    0    0    0    0    0    0
146  1957.39767     0    0    0    0    0    0    0    0    0    0    0    0    0
147  1957.40041     0    0    0    0    0    0    0    0    0    0    0    0    0
148  1957.40315     0    0    0    0    0    0    0    0    0    0    0    0    0
149  1957.40589     0    0    0    0    0    0    0    0    0    0    0    0    0
150  1957.40862     0    0    0    0    0    0    0    0    0    0    0    0    0
151  1957.41136     0    0    0    0    0    0    0    0    0    0    0    0    0
152  1957.4141 0    0    0    0    0    0    0    0    0    0    0    0    0
153  1957.41684     0    0    0    0    0    0    0    0    0    0    0    0    0
154  1957.41958     0    0    0    0    0    0    0    0    0    0    0    0    0
155  1957.42231     0    0    0    0    0    0    0    0    0    0    0    0    0
156  1957.42505     0    0    0    0    0    0    0    0    0    0    0    0    0
157  1957.42779     0    0    0    0    0    0    0    0    0    0    0    0    0
158  1957.43053     0    0    0    0    0    0    0    0    0    0    0    0    0
159  1957.43326     0    0    0    0    0    0    0    0    0    0    0    0    0
160  1957.436  0    0    0    0    0    0    0    0    0    0    0    0    0
161  1957.43874     0    0    0    0    0    0    0    0    0    0    0    0    0
162  1957.44148     0    0    0    0    0    0    0    0    0    0    0    0    0
163  1957.44422     0    0    0    0    0    0    0    0    0    0    0    0    0
164  1957.44695     0    0    0    0    0    0    0    0    0    0    0    0    0
165  1957.44969     0    0    0    0    0    0    0    0    0    0    0    0    0
166  1957.45243     0    0    0    0    0    0    0    0    0    0    0    0    0
167  1957.45517     0    0    0    0    0    0    0    0    0    0    0    0    0
168  1957.45791     0    0    0    0    0    0    0    0    0    0    0    0    0
169  1957.46064     0    0    0    0    0    0    0    0    0    0    0    0    0
170  1957.46338     0    0    0    0    0    0    0    0    0    0    0    0    0
171  1957.46612     0    0    0    0    0    0    0    0    0    0    0    0    0
172  1957.46886     0    0    0    0    0    0    0    0    0    0    0    0    0
173  1957.47159     0    0    0    0    0    0    0    0    0    0    0    0    0
174  1957.47433     0    0    0    0    0    0    0    0    0    0    0    0    0
175  1957.47707     0    0    0    0    0    0    0    0    0    0    0    0    0
176  1957.47981     0    0    0    0    0    0    0    0    0    0    0    0    0
177  1957.48255     0    0    0    0    0    0    0    0    0    0    0    0    0
178  1957.48528     0    0    0    0    0    0    0    0    0    0    0    0    0
179  1957.48802     0    0    0    0    0    0    0    0    0    0    0    0    0
180  1957.49076     0    0    0    0    0    0    0    0    0    0    0    0    0
181  1957.4935 0    0    0    0    0    0    0    0    0    0    0    0    0
182  1957.49624     0    0    0    0    0    0    0    0    0    0    0    0    0
183  1957.49897     0    0    0    0    0    0    0    0    0    0    0    0    0
184  1957.50171     0    0    0    0    0    0    0    0    0    0    0    0    0
185  1957.50445     0    0    0    0    0    0    0    0    0    0    0    0    0
186  1957.50719     0    0    0    0    0    0    0    0    0    0    0    0    0
187  1957.50992     0    0    0    0    0    0    0    0    0    0    0    0    0
188  1957.51266     0    0    0    0    0    0    0    0    0    0    0    0    0
189  1957.5154 0    0    0    0    0    0    0    0    0    0    0    0    0
190  1957.51814     0    0    0    0    0    0    0    0    0    0    0    0    0
191  1957.52088     0    0    0    0    0    0    0    0    0    0    0    0    0
192  1957.52361     0    0    0    0    0    0    0    0    0    0    0    0    0
193  1957.52635     0    0    0    0    0    0    0    0    0    0    0    0    0
194  1957.52909     0    0    0    0    0    0    0    0    0    0    0    0    0
195  1957.53183     0    0    0    0    0    0    0    0    0    0    0    0    0
196  1957.53457     0    0    0    0    0    0    0    0    0    0    0    0    0
197  1957.5373 0    0    0    0    0    0    0    0    0    0    0    0    0
198  1957.54004     0    0    0    0    0    0    0    0    0    0    0    0    0
199  1957.54278     0    0    0    0    0    0    0    0    0    0    0    0    0
200  1957.54552     0    0    0    0    0    0    0    0    0    0    0    0    0
201  1957.54825     0    0    0    0    0    0    0    0    0    0    0    0    0
202  1957.55099     0    0    0    0    0    0    0    0    0    0    0    0    0
203  1957.55373     0    0    0    0    0    0    0    0    0    0    0    0    0
204  1957.55647     0    0    0    0    0    0    0    0    0    0    0    0    0
205  1957.55921     0    0    0    0    0    0    0    0    0    0    0    0    0
206  1957.56194     0    0    0    0    0    0    0    0    0    0    0    0    0
207  1957.56468     0    0    0    0    0    0    0    0    0    0    0    0    0
208  1957.56742     0    0    0    0    0    0    0    0    0    0    0    0    0
209  1957.57016     0    0    0    0    0    0    0    0    0    0    0    0    0
210  1957.5729 0    0    0    0    0    0    0    0    0    0    0    0    0
211  1957.57563     0    0    0    0    0    0    0    0    0    0    0    0    0
212  1957.57837     0    0    0    0    0    0    0    0    0    0    0    0    0
213  1957.58111     0    0    0    0    0    0    0    0    0    0    0    0    0
214  1957.58385     0    0    0    0    0    0    0    0    0    0    0    0    0
215  1957.58658     0    0    0    0    0    0    0    0    0    0    0    0    0
216  1957.58932     0    0    0    0    0    0    0    0    0    0    0    0    0
217  1957.59206     0    0    0    0    0    0    0    0    0    0    0    0    0
218  1957.5948 0    0    0    0    0    0    0    0    0    0    0    0    0
219  1957.59754     0    0    0    0    0    0    0    0    0    0    0    0    0
220  1957.60027     0    0    0    0    0    0    0    0    0    0    0    0    0
221  1957.60301     0    0    0    0    0    0    0    0    0    0    0    0    0
222  1957.60575     0    0    0    0    0    0    0    0    0    0    0    0    0
223  1957.60849     0    0    0    0    0    0    0    0    0    0    0    0    0
224  1957.61123     0    0    0    0    0    0    0    0    0    0    0    0    0
225  1957.61396     0    0    0    0    0    0    0    0    0    0    0    0    0
226  1957.6167 0    0    0    0    0    0    0    0    0    0    0    0    0
